tag,url,description
grappa-1.3.0,https://github.com/graeter-group/grappa/releases/download/v.1.3.0/grappa-1.3.0.zip,"Covers peptides, small molecules, rna and peptide radicals"
grappa-1.4.0,https://github.com/graeter-group/grappa/releases/download/v.1.4.0/grappa-1.4.0.zip,"Covers peptides, small molecules, rna"
grappa-1.4.1-radical,https://github.com/graeter-group/grappa/releases/download/v.1.4.1/grappa-1.4.1-radical.zip,"Covers peptides, small molecules, rna and peptide radicals"
grappa-1.4.1-light,https://github.com/graeter-group/grappa/releases/download/v.1.4.1/grappa-1.4.1-light.zip,"Lightweight version with significantly less parameters for testing. Covers peptides, small molecules, rna and peptide radicals"
